filenames,rsid,round,samples,zi,zf
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-0-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-0-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-0-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-1-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-1-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-1-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-2-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-2-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P1\Slide1_P1_MMStack_Pos-2-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-0-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-0-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-0-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-1-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-1-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-1-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-2-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-2-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P2\Slide1_P2_MMStack_Pos-2-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-0-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-0-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-0-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-1-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-1-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-1-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-2-0.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-2-1.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample1\Slide1_P3\Slide1_P3_MMStack_Pos-2-2.ome.tif,1.01,Round1,Sample1,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-0-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-0-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-0-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-1-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-1-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-1-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-2-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-2-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P1\Slide2_P1_MMStack_Pos-2-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-0-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-0-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-0-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-1-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-1-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-1-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-2-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-2-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-2-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-0-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-0-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-0-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-1-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-1-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-1-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-2-0.ome.tif,1.02,Round1,Sample2,4,13
