filenames,rsid,round,samples,zi,zf
D:\Ru\dab_images\Round1\Sample1\CC.ome_x10_y26.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x10_y27.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x10_y28.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x10_y29.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x10_y30.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x10_y31.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x10_y32.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x10_y33.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x11_y26.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x11_y27.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x11_y28.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x11_y29.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x11_y30.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x11_y31.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x11_y32.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x11_y33.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x12_y26.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x12_y27.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x12_y28.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x12_y29.tif,1.01,Round1,Sample1,1,1
