filenames,rsid,zi,zf,Name of person
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos000_000.ome.tif,1.1,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos000_001.ome.tif,1.1,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos000_002.ome.tif,1.1,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos001_000.ome.tif,1.1,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos001_001.ome.tif,1.1,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos001_002.ome.tif,1.1,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos002_000.ome.tif,1.1,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos002_001.ome.tif,1.1,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_1\230222_sample10_1_MMStack_8-Pos002_002.ome.tif,1.1,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_2\230222_sample10_2_MMStack_9-Pos000_000.ome.tif,1.1,1,16,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_2\230222_sample10_2_MMStack_9-Pos000_001.ome.tif,1.1,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_2\230222_sample10_2_MMStack_9-Pos000_002.ome.tif,1.1,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_2\230222_sample10_2_MMStack_9-Pos001_000.ome.tif,1.1,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_2\230222_sample10_2_MMStack_9-Pos001_001.ome.tif,1.1,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_2\230222_sample10_2_MMStack_9-Pos001_002.ome.tif,1.1,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_2\230222_sample10_2_MMStack_9-Pos002_000.ome.tif,1.1,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_2\230222_sample10_2_MMStack_9-Pos002_002.ome.tif,1.1,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos000_000.ome.tif,1.1,1,16,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos000_001.ome.tif,1.1,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos000_002.ome.tif,1.1,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos001_000.ome.tif,1.1,1,16,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos001_001.ome.tif,1.1,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos001_002.ome.tif,1.1,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos002_000.ome.tif,1.1,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos002_001.ome.tif,1.1,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample10\230222_sample10_3\230222_sample10_3_MMStack_10-Pos002_002.ome.tif,1.1,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos000_000.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos000_001.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos000_002.ome.tif,1.11,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos001_000.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos001_001.ome.tif,1.11,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos001_002.ome.tif,1.11,7,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos002_000.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos002_001.ome.tif,1.11,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_1\230222_sample11_1_MMStack_11-Pos002_002.ome.tif,1.11,8,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos000_000.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos000_001.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos000_002.ome.tif,1.11,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos001_000.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos001_001.ome.tif,1.11,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos001_002.ome.tif,1.11,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos002_000.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos002_001.ome.tif,1.11,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_2\230222_sample11_2_MMStack_12-Pos002_002.ome.tif,1.11,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_3_2\230222_sample11_3_2_MMStack_16-Pos000_000.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_3_2\230222_sample11_3_2_MMStack_16-Pos000_001.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_3_2\230222_sample11_3_2_MMStack_16-Pos000_002.ome.tif,1.11,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_3_2\230222_sample11_3_2_MMStack_16-Pos001_000.ome.tif,1.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample11\230222_sample11_3_2\230222_sample11_3_2_MMStack_16-Pos001_001.ome.tif,1.11,1,17,Jonathan
