filenames,rsid,round,samples,zi,zf
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-0-0.ome.tif,1.01,Round1,Sample_1,5,22
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-0-1.ome.tif,1.01,Round1,Sample_1,6,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-0-2.ome.tif,1.01,Round1,Sample_1,8,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-1-0.ome.tif,1.01,Round1,Sample_1,5,21
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-1-1.ome.tif,1.01,Round1,Sample_1,5,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-1-2.ome.tif,1.01,Round1,Sample_1,9,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-2-0.ome.tif,1.01,Round1,Sample_1,5,20
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-2-1.ome.tif,1.01,Round1,Sample_1,5,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_2\Sample_1_2_MMStack_Pos-2-2.ome.tif,1.01,Round1,Sample_1,8,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_3\Sample_1_3_MMStack_Pos-0-0.ome.tif,1.01,Round1,Sample_1,3,22
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_3\Sample_1_3_MMStack_Pos-0-1.ome.tif,1.01,Round1,Sample_1,5,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_3\Sample_1_3_MMStack_Pos-0-2.ome.tif,1.01,Round1,Sample_1,8,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_3\Sample_1_3_MMStack_Pos-1-0.ome.tif,1.01,Round1,Sample_1,1,20
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_3\Sample_1_3_MMStack_Pos-1-1.ome.tif,1.01,Round1,Sample_1,6,23
D:\Becs\Becs_psyn\Round1\Sample_1\Sample_1_3\Sample_1_3_MMStack_Pos-1-2.ome.tif,1.01,Round1,Sample_1,8,23
