filenames,rsid,round,samples,zi,zf
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-0-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-0-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-0-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-1-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-1-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-1-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-2-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-2-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_2\Slide1_2_MMStack_Pos-2-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-0-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-0-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-0-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-1-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-1-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-1-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-2-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-2-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_3\Slide1_3_MMStack_Pos-2-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-0-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-0-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-0-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-1-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-1-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-1-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-2-0.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-2-1.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_1\Slide1_4\Slide1_4_MMStack_Pos-2-2.ome.tif,1.01,Round1,Slide_1,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-0-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-0-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-0-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-1-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-1-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-1-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-2-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-2-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2\Slide2_MMStack_Pos-2-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-0-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-0-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-0-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-1-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-1-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-1-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-2-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-2-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_2\Slide2_2_MMStack_Pos-2-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-0-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-0-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-0-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-1-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-1-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-1-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-2-0.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-2-1.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_2\Slide2_3\Slide2_3_MMStack_Pos-2-2.ome.tif,1.02,Round1,Slide_2,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-0-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-0-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-0-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-1-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-1-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-1-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-2-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-2-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3\Slide3_MMStack_Pos-2-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-0-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-0-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-0-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-1-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-1-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-1-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-2-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-2-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_2\Slide3_2_MMStack_Pos-2-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-0-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-0-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-0-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-1-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-1-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-1-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-2-0.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-2-1.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_3\Slide3_3\Slide3_3_MMStack_Pos-2-2.ome.tif,1.03,Round1,Slide_3,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4\Slide4_MMStack_Pos-0-0.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4\Slide4_MMStack_Pos-0-1.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4\Slide4_MMStack_Pos-0-2.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4\Slide4_MMStack_Pos-1-0.ome.tif,1.04,Round1,Slide_4,5,13
