filenames,rsid,round,samples,zi,zf
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-0-0.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-0-1.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-0-2.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-1-0.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-1-1.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-1-2.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-2-0.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-2-1.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-2-2.ome.tif,1.05,Round1,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-0-0.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-0-1.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-0-2.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-1-0.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-1-1.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-1-2.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-2-0.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-2-1.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-2-2.ome.tif,1.06,Round1,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_1\Sample_1_MMStack_Pos-0-0.ome.tif,1.01,Round1,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_1\Sample_1_MMStack_Pos-0-1.ome.tif,1.01,Round1,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_1\Sample_1_MMStack_Pos-0-2.ome.tif,1.01,Round1,Sample_1,5,37
